MODEL,REACH,MARKETING_NAME,VENDOR,PRICE_RELEASED,YEAR_RELEASED,MONTH_RELEASED,TIME_RELEASED,DIAGONAL_SCREEN_SIZE,CAMERA_PIXELS,DISPLAY_HEIGHT,DISPLAY_WIDTH,AGE,Cluster_km7,Cluster_km8,Cluster_km10,Cluster_km12,Cluster_hclust7,Cluster_hclust8,Cluster_hclust10,Cluster_hclust12,ClusterScrCam_km7,ClusterScrCam_km8,ClusterScrCam_km10,ClusterScrCam_km12,ClusterScrCam_hclust7,ClusterScrCam_hclust8,ClusterScrCam_hclust10,ClusterScrCam_hclust12,ClusterScr_km7,ClusterScr_km8,ClusterScr_km10,ClusterScr_km12,ClusterScr_hclust7,ClusterScr_hclust8,ClusterScr_hclust10,ClusterScr_hclust12
R829,201310,r1,oppo,300.0,2013.0,12.0,2014.0,5.0,5.0,1280.0,720.0,3.1666666666667425,0,0,5,9,0,1,3,1,4,0,6,6,0,7,7,7,5,2,4,1,6,6,6,6
SM-N7502,198911,galaxy note 3 neo dual sim,samsung,410.0,2014.0,2.0,2014.166666666667,5.5,8.0,1280.0,720.0,2.9999999999997726,0,0,5,5,6,6,6,6,4,0,6,6,5,5,0,2,5,2,3,5,6,6,6,6
i-Style Q4,197068,i-style q4,i-mobile,130.0,2013.0,,2013.5,4.0,8.0,800.0,480.0,3.6666666666667425,1,1,4,7,0,1,9,9,3,5,0,5,5,5,0,10,6,5,5,8,3,1,4,1
SM-T111,196823,galaxy tab 3 lite 7.0 3g,samsung,190.0,2014.0,2.0,2014.166666666667,7.0,2.0,600.0,1024.0,2.9999999999997726,1,1,0,11,2,2,2,2,6,3,2,0,2,2,2,5,1,4,0,4,1,0,0,4
Smart Speedy 4G 4.0,196394,smart speedy 4g 4.0,true,80.0,2015.0,,2015.5,4.0,5.0,800.0,480.0,1.6666666666667425,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,9,2,2,2,0
i-Style 2,196369,i-style 2,i-mobile,130.0,2012.0,,2012.5,3.5,3.0,480.0,320.0,4.6666666666667425,4,7,3,3,0,3,1,11,3,7,5,3,0,0,8,8,3,6,1,3,3,1,9,9
Iris 500,194691,iris 500,lava,80.0,2014.0,,2014.5,5.0,5.0,854.0,480.0,2.6666666666667425,1,1,0,11,2,2,2,2,2,5,0,5,1,1,1,0,6,5,5,9,2,2,2,0
SM-T116BU,193297,galaxy tab 3,samsung,370.0,2015.0,,2015.5,7.0,3.15,600.0,1024.0,1.6666666666667425,0,0,5,5,6,6,6,6,0,6,9,0,2,2,2,5,2,3,7,10,1,0,0,10
Smart 3.5 Touch,191722,smart 3.5 touch,true,80.0,2015.0,,2015.5,3.5,3.0,480.0,320.0,1.6666666666667425,5,2,6,0,2,2,2,2,2,5,0,2,1,1,1,0,0,7,2,9,2,2,2,0
ZE551ML (Z00AD),189808,zenfone 2,asus,500.0,2015.0,9.0,2015.75,5.5,13.0,1920.0,1080.0,1.4166666666667425,6,3,2,8,4,4,0,4,5,4,7,8,6,6,6,6,4,1,9,0,4,4,1,5
SM-G361HU,188638,galaxy core prime,samsung,150.0,2014.0,11.0,2014.916666666667,4.5,5.0,800.0,480.0,2.2499999999997726,5,2,6,7,2,2,2,2,2,5,4,5,1,1,1,0,6,7,2,9,2,2,2,0
Z00LD,180571,zenfone 2 laser (ze550kl),asus,220.0,2015.0,9.0,2015.75,5.5,13.0,1280.0,720.0,1.4166666666667425,3,4,1,1,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,11,0,7,7,7
