"MODEL","MARKETING_NAME","VENDOR","DISPLAY_HEIGHT","DISPLAY_WIDTH","CAMERA_PIXELS","YEAR_RELEASED","DIAGONAL_SCREEN_SIZE","REACH"
"k500","x screen","lg","1280","720","13","2016","4.93",74
"r5830i","r5830i","rokea","480","320","NULL","2012","3.5",74
"4027n","one touch pixi 3","alcatel","854","480","8","2015","4.5",74
"890n","smart 4 turbo","vodafone","854","480","5","2014","4.5",74
"su640","optimus lte","lg","1280","720","NULL","2011","4.5",73
"p715","optimus l7 ii","lg","800","480","8","2013","4.3",73
"k017","memo pad 7","asus","800","1280","5","2014","7",73
"v480","g pad 8.0","lg","1280","800","4.9","2014","8",73
"sm-n9109w","galaxy note 4","samsung","2560","1440","16","2014","5.7",73
"a396","a396","lenovo","800","480","2","2014","4",73
"gt-t9500","gt-t9500","mt","854","480","3","2013","5",73
"i9220","i9220","haipai","800","480","NULL","2012","5.21",73
